"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x0acae5ae0ad1fb3ad003bb5b57b5ae9f2e21f5dc3960737e1d4b6954c2980e72","14745352","1652140810","2022-05-10 00:00:10","0x0000000000000000000000000000000000000000","0x8b5c8957a987d9dc92b8926e853114e1ee9f34b2","48,951","Mint"
"0xed084f1e5be81e643e4fb48781b1a7969985ccae8529b78b2c6e6cc548ef9c6d","14745352","1652140810","2022-05-10 00:00:10","0x0000000000000000000000000000000000000000","0x4e8d6ed883d2acc3f486ea2a991872330b4d5f22","24,975","Mint"
"0xbec5764196830cf6936e50d545efe38b82d9cc1fbf02702b972fce1c24dcfbbe","14745355","1652140900","2022-05-10 00:01:40","0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e","0x16b70f44719b227278a2dc1122e8106cc929ecd1","257.961939739295467882","-"
"0x5b56bec7dce634d97b40946fc6332c687574b7ebf8eb44553a1002b858a2bbc8","14745355","1652140900","2022-05-10 00:01:40","0x16b70f44719b227278a2dc1122e8106cc929ecd1","0x00135a8558e8adbe24e9ce24944109ebfba8938f","203.302228715364008199","Multicall"
"0x9ee15b0026fdad31dee9d1336a2c67b3320fea0681ab7b3a29e013967f68754b","14745357","1652140935","2022-05-10 00:02:15","0x8b5c8957a987d9dc92b8926e853114e1ee9f34b2","0x77b815183353b7a9ba8a1e68e30bdc0456b3c874","25,000","Transfer"
"0x4472d63860c0f9f498dc313ff73babf6770c5b6dd154cacd1fc7a324a1014fe5","14745358","1652140948","2022-05-10 00:02:28","0x0000000000000000000000000000000000000000","0x57c924feb43e30a08233661f8782d10e378cd6f4","328.2218","Mint"
"0x6377c1209a3c52a96ad6e75ca97ed80447807bed35707c1464d0868a59473cdf","14745359","1652140966","2022-05-10 00:02:46","0x0000000000000000000000000000000000000000","0x58fdf838615b6667c7b3e7e9f24ea1947bef3e18","1,332.208245","Mint"
"0x570bcbcc9978d575338ee03bf5bf019a4114ea87b36f1b3c8cff8ad5a7653db6","14745359","1652140966","2022-05-10 00:02:46","0x77696bb39917c91a0c3908d577d5e322095425ca","0xbc3075e362001a9fbef9d9c3d2b19c5e26ab20ce","98.933","Transfer"
"0x41c6ece43ee31581d4a1fc4fcbaa3afa3675ef31afdcfb8e5d01c596df4b2b74","14745359","1652140966","2022-05-10 00:02:46","0x8b5c8957a987d9dc92b8926e853114e1ee9f34b2","0x77b815183353b7a9ba8a1e68e30bdc0456b3c874","23,951","Transfer"
"0x140ff3ad7d44b543b82dd58b10cf6a852daf9df6770e2206d1f443cd1bf8d2ee","14745363","1652141038","2022-05-10 00:03:58","0xf327b7995eb8bb7b5efc13a798f713cdc57a38d1","0x0000000000000000000000000000000000000000","67.205422","Burn"
"0x1715d712993f1a332ce350c88f78be68269816495577af6322c9e6e7ab6c835c","14745366","1652141054","2022-05-10 00:04:14","0x57c924feb43e30a08233661f8782d10e378cd6f4","0x60a39010e4892b862d1bb6bdde908215ac5af6f3","100.991323076923073539","Multiplex Batch Sell Token For Eth"
"0x1715d712993f1a332ce350c88f78be68269816495577af6322c9e6e7ab6c835c","14745366","1652141054","2022-05-10 00:04:14","0x57c924feb43e30a08233661f8782d10e378cd6f4","0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7","25.247830769230769385","Multiplex Batch Sell Token For Eth"
