"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x27f7dff0dda2c64d5650f6985f868e880486f3c6462847c5e042e2ae20cd78cb","14059244","1642905794","2022-01-23 02:43:14","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.51","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x9a2840c2c1bacb0dcf70ed4107e339b4486bdfb6a7f6665523849451aa10a610","14059965","1642915124","2022-01-23 05:18:44","0x9aa65464b4cfbe3dc2bdb3df412aee2b3de86687","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","35","$35.18","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x0e406341437eab92fccc65142b7c7cef9132f4774292b8ecd67e163a5e8599e2","14060205","1642918163","2022-01-23 06:09:23","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","499,900","$502,447.07","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1e43321e2ef0bcc3186851b7ff5064a5a686c68df4643257c089c34904c818fb","14067818","1643020398","2022-01-24 10:33:18","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","20","$20.02","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x3b2d2f1c1f4e446aad9a9cefa9c9ccc4d1c31a8ade48b4a0c1cb54a1b5d659b8","14068591","1643030999","2022-01-24 13:29:59","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","14,999,980","$15,014,768.06","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x10eebdc82eeda9c5729ca3ddebb02c3ae9cc02d610e7241f3d4726238e8d5f13","14069277","1643040073","2022-01-24 16:01:13","0xed344fa1075499dac4e7eb0b868a1874dcdd36cf","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","7,999,965","$8,007,851.94","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1e6f0cb7d147061ad47d327b00e9eff172f318b4f71343004ffafc6f95416b2c","14070230","1643052849","2022-01-24 19:34:09","0xa56775a136422f4410277014f4cec1c6291647e4","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1.28","$1.28","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xa58c6cd6ae955a7a6d4a494d0d3ec9a769ab97c1852e9084e5657125d690d554","14072513","1643083307","2022-01-25 04:01:47","0x61072ce65d11e36b00b97e8ffc06c6a864da2957","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","1","$1.00","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x7a9f3b78eb015844a175e6342c8c61fa664c20a27d2b8cda330df32318b2d637","14073362","1643095255","2022-01-25 07:20:55","0x2c75f263394cf51f99e31965d4c08ab72876e595","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","2","$2.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1293c28cb2385c2ae57ffc07093074966cbb75a10023a46881bd1916234a691f","14074141","1643105401","2022-01-25 10:10:01","0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","21.2345","$21.26","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xade2e5bd7ed97cc3daba312249e5cfff7129931922c81eccda8de782db18d832","14074623","1643111845","2022-01-25 11:57:25","0xa81011ae274ef6debd3bdab634102c7b6c2c452d","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","500.027","$500.74","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x739697751f99286af4c1b3517b70231924080ddfcfa497acefb0355821dd4050","14075093","1643118320","2022-01-25 13:45:20","0x503828976d22510aad0201ac7ec88293211d23da","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","100","$100.28","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xdddbebaaa013657eb62efcae855b29166cf1b8b6964da7977ed1532388597447","14075308","1643121437","2022-01-25 14:37:17","0x14633ea8d5d75f895dfb9d15fe82d0042e7ee042","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","9.827","$9.84","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xfa4535f0db0956108e033573be5c50492d6fb2ada47b4b9599dda5dc03ca7294","14075719","1643126739","2022-01-25 16:05:39","0x71660c4005ba85c37ccec55d0c4493e66fe775d3","0xad41bd1cf3fd753017ef5c0da8df31a3074ea1ea","3,499,900","$3,509,540.86","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
