"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","Quantity","Method"
"0x2d03e0405f03460320ccb09c41883c15334b68467c5d083a96d46f54eb764846","14509823","1648944020","2022-04-03 00:00:20","0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d","0x74de5d4fcbf63e00296fd95d33236b9794016631","5,011.812849649799455632","Swap"
"0x2d03e0405f03460320ccb09c41883c15334b68467c5d083a96d46f54eb764846","14509823","1648944020","2022-04-03 00:00:20","0x74de5d4fcbf63e00296fd95d33236b9794016631","0x800ac27716f73a4067dea61cfc54d73e0651b25c","5,011.812849649799455632","Swap"
"0x2dbf762f5d6cfb6827e6456d9599c7e5c65cf02d4d895c40523856af52c289be","14509824","1648944067","2022-04-03 00:01:07","0xeb2629a2734e272bcc07bda959863f316f4bd4cf","0xbd6c5795a580e932ec8749eda2d67550c0e85be6","149.92503748","Transfer"
"0xe2af47798d748c8864a0befd7ac189d0a3878e7899a03b5e4b08a865bc1198c4","14509827","1648944153","2022-04-03 00:02:33","0x800ac27716f73a4067dea61cfc54d73e0651b25c","0x0000000000000000000000000000000000000000","5,011.812849","Burn"
"0x8fdcab7d4a3cc86ee9e7906e64c4a76d70dd079b69730171d5d8c66b46ca0242","14509828","1648944176","2022-04-03 00:02:56","0x1ccad83ef5222d82888a269f1426acf96a2fdffa","0x0000000000000000000000000000000000000000","4,000","Burn"
"0x3be9f944212ede6737f4d23f9abd91524f5dc54a4a6117c6aa2148713f3881cb","14509830","1648944198","2022-04-03 00:03:18","0xd96f48665a1410c0cd669a88898eca36b9fc2cce","0xff498bbcbf40d0f30f178f553e8fa36153baf30b","24,499.548293678984919097","Cook"
"0x3be9f944212ede6737f4d23f9abd91524f5dc54a4a6117c6aa2148713f3881cb","14509830","1648944198","2022-04-03 00:03:18","0xff498bbcbf40d0f30f178f553e8fa36153baf30b","0x55a8a39bc9694714e2874c1ce77aa1e599461e18","24,499.548293678984919097","Cook"
"0x3be9f944212ede6737f4d23f9abd91524f5dc54a4a6117c6aa2148713f3881cb","14509830","1648944198","2022-04-03 00:03:18","0xd96f48665a1410c0cd669a88898eca36b9fc2cce","0xcb0ddd3b8d27af89627151a34d68acd5f3ce100d","10,809.277830000000903964","Cook"
"0xe94033cd359c29566f5b75e2c5f17aca6f15af8fbfc25c23b6a55b76a830b0e1","14509841","1648944320","2022-04-03 00:05:20","0x4cff1ac7a2941fbfe6b85840569c6df62967d7d3","0x74de5d4fcbf63e00296fd95d33236b9794016631","103.18805165696343137","Swap"
"0xe94033cd359c29566f5b75e2c5f17aca6f15af8fbfc25c23b6a55b76a830b0e1","14509841","1648944320","2022-04-03 00:05:20","0x74de5d4fcbf63e00296fd95d33236b9794016631","0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d","103.18805165696343137","Swap"
"0x51ee630337b9ab6b8a662caf154bb823c664f0ad67a8257abd77ee39f5176d34","14509853","1648944467","2022-04-03 00:07:47","0x1ccad83ef5222d82888a269f1426acf96a2fdffa","0x0000000000000000000000000000000000000000","9,458.679672","Burn"
"0xd4110d0383ebbd107022424894c64e355bb2b1bb1c4c42a86bde0c132c388f69","14509862","1648944504","2022-04-03 00:08:24","0x0000000000000000000000000000000000000000","0xa5f7bb5f1cc2cf0b3845c83c27bb33c3a8e3bf16","7,992","Mint"
"0xbe9d117aa266b43a28365a381459a9b944822f3c00d35513953f7aeb9f403bf7","14509862","1648944504","2022-04-03 00:08:24","0x92bd512d3ed442151a3dfa813670f071389d0175","0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d","8,952.840939985453036382","Mint"
"0x3af278350ff0815cd272cdee311110a9541c8745f7b9b56615e741bd8ca2d324","14509864","1648944608","2022-04-03 00:10:08","0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b","0x1111111254fb6c44bac0bed2854e76f90643097d","1,908.776555479211207977","Swap"
"0x3af278350ff0815cd272cdee311110a9541c8745f7b9b56615e741bd8ca2d324","14509864","1648944608","2022-04-03 00:10:08","0x1111111254fb6c44bac0bed2854e76f90643097d","0x74de5d4fcbf63e00296fd95d33236b9794016631","1,908.776555479211207977","Swap"
"0x3af278350ff0815cd272cdee311110a9541c8745f7b9b56615e741bd8ca2d324","14509864","1648944608","2022-04-03 00:10:08","0x74de5d4fcbf63e00296fd95d33236b9794016631","0x632a5f7af51b65f7b8ef4ccc839f42c14ce2c0c1","1,908.776555479211207977","Swap"
