blockNumber,data
14509857,3.53
14509863,7.0
14509863,7.0
14509867,271.97348372768136
14509867,271.97348372768136
14509867,271.97348372768136
14509867,271.97348372768136
14509870,271.973483
14509875,1.80979877
14509886,2.08
14509943,4.492156
14509945,3.2
14509945,3.2
14509952,6.0
14509958,466.77276
14509959,6.0
14509969,14785.79519617382
14509969,8547.841340775907
14509969,6237.953855397912
14509969,466.77276
14509969,9011.014472349498
14509994,4.492156
14510000,8.880589949556871
14510005,0.8899778828761656
14510008,9.770567
14510021,14.732597440794958
14510021,14.732597440794958
14510023,29.972235119595624
14510029,9.99
14510033,12484.65426244
14510033,2.08
14510042,89.91
14510051,99.9
14510074,66.38886272873647
14510078,329.84985213263883
14510078,0.15028295
14510131,20.0
14510208,5.0
14510221,173.6460402158472
14510229,1.07337673
14510229,2.08
14510258,5.43968751359492
14510276,86.81200869497356
14510276,0.93
14510276,0.93
14510301,12501.403520048134
14510327,2.7421122662939066
14510327,2.7421122662939066
14510333,4.512905377305432
14510341,5.0
14510391,25.0
14510391,25.0
14510447,35.63474387
14510534,0.5
14510534,0.0966
14510536,1.0
14510536,35.63474387
14510562,60.45681158064853
14510571,60.456811
14510632,0.9893519118694589
14510632,0.9893519118694589
14510660,34.23159759068651
14510660,34.23159759068651
14510671,34.231597
14510677,21.344558
14510707,5.99126
14510718,89.91
14510727,95.90126
14510733,6.0
14510776,5.11512633
14510795,6.0
14510813,5.115126
14510816,511.2311258301696
14510857,57.891
14510868,42.64335378855993
14510868,22.434312136997104
14510868,22.434312136997104
14510868,42.64335378855993
14510870,57.891
14510877,17.391304347826086
14510878,22.434312136997104
14510938,0.351965
14510953,2.99126
14510965,0.351965
14510982,2.99126
14510990,535.0
14511038,0.49126
14511050,10.994683685392172
14511050,23.25848975941015
14511050,34.25317344480232
14511164,5.397105631703783
14511164,5.397105631703783
14511241,98.388231
14511281,1.0
14511303,125.50450242071088
14511307,0.1
14511312,0.00126
14511314,4.0
14511326,185.275644
14511328,192.418
14511329,31.19387
14511329,3133.433777
14511335,0.1
14511339,100.0
14511342,121.504502
14511355,0.99126
14511363,5.49398422
14511370,17.241379310344826
14511377,9.99
14511382,2.0276494811631283
14511382,2.0276494811631283
14511384,2.3917723
14511406,2.3917723
14511411,92.637822
14511411,92.637822
14511446,18.626944079884506
14511450,37.442
14511450,185.7
14511451,17.71118561
14511454,10.0
14511458,127.99449112125
14511458,127.99449112125
14511458,99.388231
14511474,6.00126
14511493,6.00126
14511500,3.8874131295736305
14511510,1.27126
14511513,1.27126
14511537,25.076062
14511557,0.956239
14511578,0.956239
14511588,10.98252
14511588,10.98252
14511601,3.34411464
14511612,5.493984
14511659,25.076062
14511683,62.937
14511687,3.34411464
14511715,13.4
14511718,0.10496
14511753,10.0
14511779,2.129641
14511794,5.0
14511885,8.496589889052727
14511955,40.651045564705
14511971,0.558696
14511981,10006.349869974954
14511984,10006.349869974954
14512000,314.2951229448492
14512001,315.0178068889002
14512003,10006.349869974954
14512003,10006.349869974954
14512026,17.241379310344826
14512034,0.06045965117409538
14512036,2.62
14512048,331.283729986208
14512083,0.060459
14512084,6816.94211111
14512091,3.871983165123439
14512121,58.453811275911825
14512121,58.453811275911825
14512135,3283.94826481
14512162,25.53063542650063
14512163,30.434782608695652
14512166,25.530635
14512191,44.955
14512191,17.958614135054166
14512191,17.958614135054166
14512197,7329.90625399
14512199,17.958614135054166
14512199,17.958614135054166
14512220,2.7876
14512233,533.9607960220906
14512233,533.9607960220906
14512244,46.207671456502894
14512246,7329.94127663
14512285,0.04312931459021506
14512285,0.04312931459021506
14512307,22.372995
14512329,34.85283231534869
14512344,34.85283231534869
14512367,10006.349869974954
14512385,10006.349869974954
14512420,3.0145118430247293
14512424,3.014511
14512444,44.955
14512526,100.0
14512526,100.0
14512542,100.0
14512550,0.991321
14512579,11.033004
14512593,6.016321
14512621,2439.0
14512630,2439.0
14512644,11.033004
14512657,7.007642
14512666,2936.0
14512672,12.314565817242906
14512677,5697.9386854
14512703,3.456459
14512708,3.456459
14512710,0.09627532
14512756,105.2633554650669
14512756,105.2633554650669
14512797,0.491321
14512805,0.09654449
14512807,7.632528
14512808,2.630175730759965
14512809,0.491321
14512857,1.19902
14512893,0.991321
14512900,8.784487
14512910,3.65363951
14512912,84.68023
14512935,85.671551
14512938,26.944372
14512938,0.976969
14512954,85.671551
14512991,0.096275
14513010,1.1
14513024,14.674895730976434
14513024,14.674895730976434
14513028,1.1
14513030,40.96616057747674
14513037,5.4
14513046,21.929824561403507
14513047,40.96616057747674
14513047,5.4
14513082,0.9432585641390014
14513082,0.9432585641390014
14513096,58.89467022
14513164,1.6908519322550148
14513164,1.6908519322550148
14513167,20.014261680757663
14513205,3.0
14513221,0.1
14513272,106.800555
14513315,0.355791
14513336,524.2227670520372
14513341,0.30628992
14513341,141.621597
14513343,371.736842105243
14513349,1.16508567
14513355,3850.0
14513360,1.16508567
14513371,3850.0
14513440,72.82392192217
14513440,72.82392192217
14513446,660.8955719670467
14513453,0.09735254
14513460,1087.8814117
14513470,67.67011456
