blockNumber,data
14509823,5011.812849649799
14509823,5011.812849649799
14509824,149.92503748
14509827,5011.812849
14509828,4000.0
14509830,24499.548293678985
14509830,24499.548293678985
14509830,10809.27783
14509841,103.18805165696344
14509841,103.18805165696344
14509853,9458.679672
14509862,7992.0
14509862,8952.840939985454
14509864,1908.7765554792113
14509864,1908.7765554792113
14509864,1908.7765554792113
14509875,549.0
14509877,708966.3297473158
14509877,708966.3297473158
14509879,29.0
14509879,1908.776556
14509887,13986.0
14509892,29.0
14509892,549.0
14509896,13986.0
14509897,7992.0
14509907,12348.0
14509916,1998.0
14509916,999.0
14509930,1531.4023622701495
14509930,1531.4023622701495
14509930,0.0
14509934,1198.8
14509935,4215.78
14509935,1998.0
14509937,500.0
14509943,3696.3
14509947,1998.0
14509950,1198.8
14509950,12000.987
14509951,5214.78
14509952,88888.88888888889
14509952,88888.88888888889
14509952,88888.88888888889
14509955,120395.71456089111
14509955,120395.71456089111
14509955,120395.71456089111
14509957,46221.10698401844
14509960,9.0
14509962,3696.3
14509962,5214.78
14509968,647183.6066281024
14509970,20.0
14509972,864.88755622
14509974,299.0
14509974,299.0
14509974,267251.09051777836
14509974,24959.577801049658
14509974,24959.577801049658
14509974,24959.577801049658
14509974,24959.577801049658
14509974,24959.577801049658
14509974,9.0
14509977,267251.09051777836
14509981,988.72619347
14509982,7182.81
14509990,510.12
14509990,46201.106984
14509996,914434.697145
14509996,365773.878858
14509996,548660.818287
14510001,4762.6300919616715
14510001,4762.6300919616715
14510001,582.915471
14510005,582.915471
14510009,4762.630091
14510014,9952.261820808833
14510014,116825.61457473911
14510014,116825.61457473911
14510014,18008.90644
14510016,40.0
14510018,343.1469687103319
14510018,343.1469687103319
14510020,1458.052307
14510025,7182.81
14510025,7182.81
14510029,50.0
14510029,118177.21869210972
14510029,118177.21869210972
14510029,54915.67401
14510029,340.0
14510035,80000.0
14510037,843402.7597992647
14510037,843402.7597992647
14510037,220112.95657
14510039,229.0
14510039,1715.8149273486463
14510039,1715.8149273486463
14510042,9.0
14510044,157699.64454324954
14510044,157699.64454324954
14510044,51883.39974
14510045,1348.7690806822527
14510046,500.0
14510050,2000.0
14510051,1348.76908
14510054,9.0
14510060,10057.299199081725
14510064,74735.39
14510074,1735.2263856739985
14510075,7041.464111366064
14510078,8424.101953288786
14510087,74915.01
14510088,3434.374657237685
14510088,3434.374657237685
14510088,1.0
14510090,1000.0
14510092,0.6145922340429695
14510092,0.6920666807850461
14510092,17.440772733606217
14510097,74915.01
14510102,3000.0
14510116,5703.204610767324
14510122,74915.01
14510122,4495.351832128552
14510126,230187.696542
14510131,87041.46411136606
14510136,1.0
14510137,7082.91
14510141,501.0
14510142,6493.5
14510148,7082.91
14510157,501.0
14510163,102.27615845019402
14510163,102.27615845019402
14510163,99.95002499
14510169,10036.379884645634
14510175,6493.5
14510175,6493.5
14510177,1745.749114
14510183,102.276158
14510185,7039.035156593973
14510186,10022.409460971727
14510186,4589.484489
14510186,5091.756229750339
14510190,10039.477297115685
14510204,508.9111999320912
14510204,4.452972999405798
14510204,504.4582269326854
14510212,69073.14784983548
14510212,69073.14784983548
14510212,16478.66929
14510216,503.85042
14510221,51881.39974
14510223,481.090623
14510224,246713.758281
14510229,239.0
14510232,864.887556
14510234,246952.75828150153
14510235,1200.0
14510239,277.0100162233089
14510239,16478.66929
14510246,277.010016
14510246,5703.204610767324
14510247,10055.009862681442
14510253,2014.771712
14510255,1028209.3884176585
14510255,1027773.7003790218
14510266,19.0
14510267,989.83
14510269,9990.0
14510279,503.85042
14510301,9345.0
14510302,914.8944083073175
14510306,19.0
14510308,9345.0
14510321,9.9950025
14510326,9990.000000495129
14510333,199.0
14510343,1695.0033
14510346,229.0
14510361,3000.0
14510364,87389.52525696042
14510364,87389.52525696042
14510365,500.0
14510366,1695.0033
14510373,751.9687228963187
14510376,25145.429246
14510383,899.0
14510384,21387.261486750853
14510403,899.0
14510411,3536.46
14510413,21387.261486
14510413,89994.915
14510415,75.0
14510415,7461.528785914795
14510415,7461.528785914795
14510415,843.95955
14510424,3536.46
14510430,74.06373834689116
14510434,499.0
14510438,75.0
14510439,1198.8
14510443,89994.91500055775
14510449,99.0
14510449,1.0
14510450,4987.78
14510450,9.9950025
14510457,536.29035903
14510507,100.0
14510515,546.285362
14510526,100.0
14510533,6505.488
14510536,1198.8
14510538,9.9950025
14510550,6505.488
14510555,11573.415
14510555,36688.25430153275
14510555,36688.25430153275
14510555,10112.00287
14510557,1.0
14510559,4000.000014
14510559,499.0
14510566,11573.415000609864
14510567,107971.897603
14510574,4000.000014
14510580,499.0
14510596,444.9777040703455
14510598,100.0
14510601,84372.526532
14510612,84372.526532
14510612,84372.526532
14510614,1500.0
14510623,3094.4025339459163
14510623,99.0
14510623,1500.0
14510637,99900.0
14510648,99999.0
14510662,1812.7854
14510667,99.0
14510667,74659.806835674
14510674,2082.8315805136685
14510675,34.53307934485138
14510679,34.533079
14510680,45.42458938
14510686,9943.402986164518
14510691,100.0
14510696,1678.32
14510699,9890.1
14510707,1010.0
14510716,1110.0
14510731,40.90187755149052
14510739,9989.100000872599
14510743,8524.719105913047
14510748,8524.719106
14510749,49.97501249
14510775,1025.9662534069023
14510787,1025.966253
14510796,32274.834779
14510808,32274.834779
14510811,23675.2
14510811,3207.7770208049656
14510816,9.0
14510819,21798.24
14510819,208.0
14510825,94.43314547
14510833,849.0
14510835,3207.77702
14510847,10000.0
14510851,94.433145
14510853,300.0
14510853,849.0
14510871,11488.5
14510879,79893.13020051255
14510879,79893.13020051255
14510879,79893.13020051255
14510879,15723.326896302868
14510879,11587.5
14510883,300.0
14510893,342.99412040258125
14510904,10000.0
14510909,34979.985
14510911,1812.7854
14510924,10.0
14510926,15.0
14510931,2082.83158
14510933,49.975012
14510944,34979.985
14510964,10646.880574070346
14510964,10646.880574070346
14510970,9999.0
14510981,929.11122
14510984,64100.0
14510984,486831.8960002169
14510984,486831.8960002169
14510984,181289.4819
14510991,9986.0
14511004,11104.29744061544
14511015,10017.198518005494
14511031,633.0
14511037,575.0
14511039,466.5351689139627
14511047,575.0000008850953
14511047,575.0000008850953
14511048,99.0
14511048,6545.711855223682
14511063,3396.6
14511065,1994.8642513623508
14511068,169444.15500640924
14511068,169444.15500640924
14511068,45382.79348
14511070,1994.864251
14511075,50.0
14511076,3495.6
14511078,32852.62364035689
14511088,2038.5174625270945
14511098,23675.2
14511099,38972.0
14511100,499.0
14511101,500.0
14511103,32852.62364
14511109,73926.0
14511118,73926.0
14511118,29570.4
14511118,44355.6
14511129,89727.756
14511137,1503.352783128808
14511146,9763.735257339908
14511146,9763.735257339908
14511146,1956.84775
14511155,1956.847749
14511182,543973.5230205941
14511182,543973.5230205941
14511182,150733.51932
14511189,89727.756
14511189,150733.51932
14511199,1490.0
14511205,14373.49
14511207,391.8201259657234
14511229,49.0
14511234,49.0
14511241,2828.158292
14511247,9500.0
14511251,4545.45
14511251,18112.801118030704
14511257,4545.45
14511288,50.0
14511289,16.162553
14511294,53746.2
14511294,516.0
14511299,53746.2
14511299,41759.325240790786
